7 10 19
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 70 80 90 100 
4 750 562500 144 64 64 0 1 2 2 1169.29 1460.73 1547.63 1817.95 1622.09 1610.52 1598.5 1829.46 1744.54 1933.8 1802.17 1174.52 1190.38 1143.64 1010.28 870.023 819.573 817.615 620.354 
6 750 562500 144 64 64 0 1 2 2 1657.79 2144.84 2049.5 2501.9 2290.84 2390.28 2053.25 2759.91 2314.09 2380.41 1853.93 1276.62 1493.95 1029.76 973.146 994.235 921.777 724.344 616.876 
8 750 562500 144 64 64 0 1 2 2 2045.79 2524 2518.11 2690.16 2607.32 3153 2712.35 2579.86 3090.71 3069.52 1755.37 1343.94 1321.19 1083.56 1032.81 903.552 719.497 795.714 611.024 
10 750 562500 144 64 64 0 1 2 2 2044.28 2457.35 2663.96 2729.9 2724.88 2644.84 2677.99 2469.18 2561.43 2126.85 1439.54 1322.97 1139.69 948.819 811.891 715.788 764.82 707.931 608.959 
12 750 562500 144 64 64 0 1 2 2 2211.88 2500.95 2740.04 2647.09 2729.48 2561.72 2879.95 2230.32 2014.08 2005.16 1505.65 1212.19 997.809 929.772 791.075 725.821 743.907 633.882 562.318 
14 750 562500 144 64 64 0 1 2 2 2294.55 2392.39 2683.87 2792.16 2323.2 3162.44 2324.73 1986.04 1939.82 1961.93 1324.91 1128.34 1015.4 926.915 838.147 700.386 728.443 638.75 582.43 
16 750 562500 144 64 64 0 1 2 2 2312.2 2893.24 2760.69 2412.26 3402.64 2317.03 1835.83 2055.87 2364.97 2149.01 1308.73 1049.54 776.973 901.932 861.264 778.115 556.969 646.817 585.745 
