7 10 19
Nthr Ms Mflop Nite Brow Bcol t1 t2 d1 d2 1 2 3 4 5 6 7 8 9 10 20 30 40 50 60 70 80 90 100 
4 500 250000 125 4 1024 0 0 0 2 1378.31 2051.94 2396.13 2688.62 2745.17 2860.14 3119.71 3080.06 3090.84 3092.89 3104.53 2676.28 2449.85 2443.43 2357.54 2157.81 1914.01 1721.79 1565.11 
6 500 250000 125 4 1024 0 0 0 2 1706.98 2644.3 3073.71 3309.28 3537.45 3731.65 3892.98 3926.49 3919.59 3997.59 3037.29 2729.56 2698.3 2421.3 2219.66 2040.14 1811.03 1633.92 1482.03 
8 500 250000 125 4 1024 0 0 0 2 1994.15 2934.84 3405.65 3851.79 4104.34 4209.06 4176.81 4259.73 4435.87 4311.65 3103.69 2878.8 2638.15 2423.56 2164.52 1940.19 1731.68 1565.59 1421.25 
10 500 250000 125 4 1024 0 0 0 2 1553.24 2327.28 2797.39 2941.55 3229.82 3195.29 3488.25 3395.56 3132.81 3037.23 2563.73 2252.19 2141.49 1942.86 1697.86 1633.93 1509.09 1324.71 1221.99 
12 500 250000 125 4 1024 0 0 0 2 1541.11 2210.37 2612.57 2853.72 2523.16 3399.68 2674.66 2460.13 2396.3 2389.7 2204.46 2219.22 1815.7 1682.6 1584.98 1562.15 1465.21 1291.25 1196.24 
14 500 250000 125 4 1024 0 0 0 2 1543.81 2134.85 2248.2 2106.99 3216.37 2492.39 2149.15 2212.53 3206.38 3273 1897.18 1784.78 1350 1747.03 1544.23 1558.98 1440.06 1019.17 1169.1 
16 500 250000 125 4 1024 0 0 0 2 1494.42 2077.69 2525.9 2536.66 2505.65 1967.06 2284.65 3281.32 3327.81 3036.73 1939.49 1783.86 1785.29 1742.74 1586.36 1518.76 1399.67 1277.88 1166.41 
